what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1332123786296
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123791695
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332123793130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123808232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123858991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1332123859039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1332123859039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123861827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123932783
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123939651
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332123940529
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123941006
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123941177
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332123941759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123943278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123945197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332123945258
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123945297
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123946689
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1332123948946
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123952399
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123952462
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1332123954295
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123955982
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123956047
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332123962304
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123971710
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332123974040
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1332123994050
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332123995175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124004716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124038008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1332124038062
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1332124043901
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1332124043947
started,bundle,org.eclipse.jst.ejb.ui,1.1.600.v201104261451,"org.eclipse.jst.ejb.ui",1332124044089
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.502.v201105180500,"org.eclipse.jst.j2ee.ejb",1332124044097
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1332124044191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124044268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124045695
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332124058083
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332124062249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124064265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124083990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1332124084059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124099496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124115319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124117961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124124876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124129404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332124135057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124138601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1332124138654
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1332124169923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.collapseAll",1332124170035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.collapseAll",1332124171291
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332124172652
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332124190171
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332124200437
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332124200459
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1332124214460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124221977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124228667
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332124229765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124235365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124546214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124590372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124612507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124615784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124619184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124621790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124702483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124705665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124740857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332124750190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332125006548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332125078791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332125327299
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332125328117
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125339090
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125339301
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332125339399
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125357060
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125362170
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125362170
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125364238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332125369254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332125849798
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332125850396
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125874610
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332125879741
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332125882732
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125887697
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332125887759
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332125922182
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125929013
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332125929070
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332125932691
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125933747
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332125933765
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332125941771
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125943245
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332125943265
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332125967147
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125967534
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332125970186
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332125998510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332126009691
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332126012149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332126014490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332126027015
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332126051773
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332126054782
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332126060515
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332126082824
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332126083177
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332126184656
